Reference, Quantity, Value, Footprint, Datasheet, ManPartNo, DistPartNo
A1 ,1,ANT,slocalization:AH086M,,AH086M555003-T ,587-2204-1-ND
C2 ,1,47uF,Capacitors_SMD:C_0805,,TLNN476M010R6000,478-6613-1-ND
C3 C6 C7 ,3,100pF,Capacitors_SMD:C_0402,,GRM1555C1H101JA01J,490-7754-1-ND
C4 ,1,47pF,Capacitors_SMD:C_0402,,GRM1555C1H470JA01D,490-5942-1-ND
J1 ,1,TC2030-JLINK-NL,slocalization:TC2030,
P1 ,1,CONN_01X03,Pin_Headers:Pin_Header_Straight_1x03,
R1 R11 ,2,DNP,Resistors_SMD:R_0402,
R12 ,1,11K,Resistors_SMD:R_0402,,ERJ-2RKF1102X,P11.0KLCT-ND
R2 ,1,0,Resistors_SMD:R_0402,,ERJ-2GE0R00X,P0.0JCT-ND
R10 R3 R4 R5 R6 R7 R8 R9 ,8,47K,Resistors_SMD:R_0402,,ERJ-2RKF4702X,P47.0KLCT-ND
U1 ,1,SOLAR_CELL,slocalization:AM-1417,,AM-1417CA,869-1000-ND
U2 ,1,AM0805,Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm,
U3 ,1,UPG2422TK,slocalization:MINIMOLD-6,,UPG2422TK-A,UPG2422TK-A-ND
U4 ,1,74LVC1G04,TO_SOT_Packages_SMD:SOT-353,,74LVC1G04GW,125,568-1579-1-ND
U5 U7 ,2,74LVC1G175,slocalization:SOT-363,,74LVC1G175GW,125,568-7761-1-ND
U6 ,1,STM32L051K8T6,Housings_QFP:LQFP-32_7x7mm_Pitch0.8mm,,STM32L051K8T6,497-14901-ND
Y1 ,1,Crystal_Small,slocalization:XTAL-3.2mm-1.5mm,,ABS07-32.768KHZ-7-T ,535-9543-1-ND